frame_len,window,signal,method,runtime_s
128,blackman,sine,classical,8.558400440961123e-05
128,blackman,sine,classical,0.0001004580408334732
128,rect,sine,classical,9.662500815466046e-05
128,rect,sine,classical,8.425000123679638e-05
128,rect,sine,classical,8.004199480637908e-05
128,rect,sine,classical,8.062500273808837e-05
128,rect,sine,classical,0.00015945901395753026
128,rect,sine,classical,0.00014595803804695606
128,rect,sine,classical,0.00014066597213968635
128,rect,sine,classical,0.00016087503172457218
128,hann,sine,classical,9.787501767277718e-05
128,hann,sine,classical,9.387504542246461e-05
128,hann,sine,classical,8.458399679511786e-05
128,hann,sine,classical,8.591701043769717e-05
128,hann,sine,classical,0.0001770419767126441
128,hann,sine,classical,0.00016845797654241323
128,hann,sine,classical,0.0001819579629227519
128,hann,sine,classical,0.000155583955347538
128,hamming,sine,classical,8.570897625759244e-05
128,hamming,sine,classical,9.049999061971903e-05
128,hamming,sine,classical,8.241698378697038e-05
128,hamming,sine,classical,7.820798782631755e-05
128,hamming,sine,classical,0.00015400000847876072
128,hamming,sine,classical,0.00014054204802960157
128,hamming,sine,classical,0.00014170899521559477
128,hamming,sine,classical,0.00017466599820181727
128,blackman,sine,classical,8.058297680690885e-05
128,blackman,sine,classical,0.00010120903607457876
128,blackman,sine,classical,8.620903827250004e-05
128,blackman,sine,classical,8.462497498840094e-05
128,blackman,sine,classical,0.00017404102254658937
128,blackman,sine,classical,0.00016745796892791986
128,blackman,sine,classical,0.00016133405733853579
128,blackman,sine,classical,0.00014887499855831265
256,rect,sine,classical,2.8416980057954788e-05
256,rect,sine,classical,3.129197284579277e-05
256,rect,sine,classical,2.741703065112233e-05
256,rect,sine,classical,2.8292008209973574e-05
256,rect,sine,classical,4.9708003643900156e-05
256,rect,sine,classical,5.0709000788629055e-05
256,rect,sine,classical,5.370797589421272e-05
256,rect,sine,classical,4.904100205749273e-05
256,hann,sine,classical,3.183301305398345e-05
256,hann,sine,classical,2.9541959520429373e-05
256,hann,sine,classical,2.9458024073392153e-05
256,hann,sine,classical,3.224995452910662e-05
256,hann,sine,classical,5.341594805940986e-05
256,hann,sine,classical,5.266699008643627e-05
256,hann,sine,classical,5.8917037677019835e-05
256,hann,sine,classical,5.6541000958532095e-05
256,hamming,sine,classical,3.2416952308267355e-05
256,hamming,sine,classical,3.162503708153963e-05
256,hamming,sine,classical,3.550003748387098e-05
256,hamming,sine,classical,2.9666000045835972e-05
256,hamming,sine,classical,6.804196164011955e-05
256,hamming,sine,classical,5.2791961934417486e-05
256,hamming,sine,classical,5.570799112319946e-05
256,hamming,sine,classical,5.366600817069411e-05
256,blackman,sine,classical,3.2540992833673954e-05
256,blackman,sine,classical,3.908301005139947e-05
256,blackman,sine,classical,3.170798299834132e-05
256,blackman,sine,classical,3.162497887387872e-05
256,blackman,sine,classical,5.400000372901559e-05
256,blackman,sine,classical,7.062498480081558e-05
256,blackman,sine,classical,5.604204488918185e-05
256,blackman,sine,classical,5.379202775657177e-05
256,rect,sine,classical,4.1584018617868423e-05
256,rect,sine,classical,3.841705620288849e-05
256,rect,sine,classical,3.308302257210016e-05
256,rect,sine,classical,3.5165983717888594e-05
256,rect,sine,classical,6.520800525322556e-05
256,rect,sine,classical,6.295798812061548e-05
256,rect,sine,classical,6.637501064687967e-05
256,rect,sine,classical,6.637501064687967e-05
256,hann,sine,classical,3.7958030588924885e-05
256,hann,sine,classical,3.604101948440075e-05
256,hann,sine,classical,3.887503407895565e-05
256,hann,sine,classical,4.429201362654567e-05
256,hann,sine,classical,7.316702976822853e-05
256,hann,sine,classical,6.616697646677494e-05
256,hann,sine,classical,7.61249684728682e-05
256,hann,sine,classical,6.47500273771584e-05
256,hamming,sine,classical,4.554097540676594e-05
256,hamming,sine,classical,3.833300434052944e-05
256,hamming,sine,classical,3.57080134563148e-05
256,hamming,sine,classical,3.5375007428228855e-05
256,hamming,sine,classical,6.699998630210757e-05
256,hamming,sine,classical,6.9500005338341e-05
256,hamming,sine,classical,6.566703086718917e-05
256,hamming,sine,classical,7.333297980949283e-05
256,blackman,sine,classical,5.3333002142608166e-05
256,blackman,sine,classical,3.766699228435755e-05
256,blackman,sine,classical,3.6833982449024916e-05
256,blackman,sine,classical,4.4832995627075434e-05
256,blackman,sine,classical,6.904202746227384e-05
256,blackman,sine,classical,6.716599455103278e-05
256,blackman,sine,classical,6.787496386095881e-05
256,blackman,sine,classical,7.491698488593102e-05
256,rect,sine,classical,4.341697786003351e-05
256,rect,sine,classical,4.79590380564332e-05
256,rect,sine,classical,5.4333009757101536e-05
256,rect,sine,classical,4.7124980483204126e-05
256,rect,sine,classical,0.00010491599095985293
256,rect,sine,classical,9.004096500575542e-05
256,rect,sine,classical,9.408302139490843e-05
256,rect,sine,classical,0.00011133402585983276
256,hann,sine,classical,4.962499951943755e-05
256,hann,sine,classical,5.004199920222163e-05
256,hann,sine,classical,5.783297820016742e-05
256,hann,sine,classical,4.845898365601897e-05
256,hann,sine,classical,9.304098784923553e-05
256,hann,sine,classical,0.00010958296479657292
256,hann,sine,classical,8.754199370741844e-05
256,hann,sine,classical,0.00010666699381545186
256,hamming,sine,classical,5.1333976443856955e-05
